#Types Before Cut: 8777
#Types After Cut: 6147
#Search Hits: 0
1	1855	795.406	patrick
2	806	427.468	gary
3	1259	373.531	mr
4	1341	325.186	squidward
5	1167	292.235	krabs
6	487	186.334	sandy
7	356	101.383	la
8	181	86.144	doo
9	321	61.090	sir
10	1550	49.817	we
11	150	48.068	mrs
12	139	44.585	puff
13	308	41.366	ready
14	6609	40.099	i
15	231	37.623	hi
16	191	33.314	wow
17	69	28.530	pat
18	281	27.577	sorry
19	210	25.872	guess
20	197	24.558	best
21	178	23.572	friend
22	406	20.901	okay
23	1287	20.432	m
24	158	18.835	ok
25	102	18.692	jellyfish
26	138	17.694	worry
27	55	17.413	gee
28	265	16.108	work
29	94	15.853	aye
30	135	15.809	night
31	311	15.679	sure
32	44	14.930	shiny
33	800	14.209	but
34	63	13.799	spatula
35	23	13.172	buzz
36	155	12.487	buddy
37	1018	12.380	can
38	41	12.329	blah
39	304	11.570	am
40	1016	11.540	do
41	35	11.530	f
42	25	10.268	ta
43	16	9.724	gar
44	18	9.391	boop
45	2153	9.332	t
46	281	9.330	really
47	47	9.244	saved
48	216	9.212	great
49	34	9.138	bun
50	23	9.118	doodle
51	17	8.789	gare
52	153	8.726	isn
53	58	8.336	pal
54	44	8.233	squid
55	49	8.158	aww
56	45	8.016	grill
57	30	7.962	kenny
58	13	7.900	doy
59	46	7.811	movie
60	15	7.587	stanley
61	40	7.454	grandma
62	48	7.436	larry
63	152	7.263	maybe
64	13	7.111	abrasive
65	13	7.111	grammyma
66	606	7.089	know
67	16	6.862	essay
68	16	6.862	kevin
69	478	6.696	good
70	399	6.593	think
71	56	6.516	karate
72	117	6.469	whoa
73	87	6.385	bubble
74	62	6.298	whoo
75	47	6.194	aw
76	37	6.147	gosh
77	34	6.121	oops
78	385	6.109	look
79	236	6.105	krab
80	123	6.040	made
81	43	5.984	feeling
82	12	5.793	escalators
83	16	5.714	tickles
84	170	5.631	home
85	35	5.608	license
86	48	5.550	magic
87	9	5.469	backing
88	9	5.469	boaty
89	9	5.469	secretly
90	222	5.467	help
91	31	5.457	normal
92	20	5.452	pen
93	24	5.400	pardon
94	19	5.378	hut
95	30	5.344	net
96	18	5.311	safety
97	59	5.290	bye
98	111	5.250	play
99	11	5.198	fluffy
100	43	5.194	boating
101	15	5.160	ripped
102	31	5.142	fly
103	14	5.135	memories
104	13	5.128	blackjack
105	119	4.946	fun
106	8	4.862	lary
107	42	4.826	glove
108	9	4.695	bent
109	9	4.695	crazyfish
110	9	4.695	poo
111	168	4.682	should
112	15	4.661	shoe
113	46	4.608	playing
114	26	4.567	visit
115	11	4.566	cheating
116	11	4.566	reliable
117	31	4.548	key
118	52	4.467	da
119	58	4.381	close
120	24	4.340	pickles
121	16	4.275	lodge
122	16	4.275	lots
123	16	4.275	promotion
124	90	4.265	morning
125	7	4.254	eady
126	7	4.254	seor
127	7	4.254	wigs
128	279	4.142	wait
129	8	4.094	spat
130	18	4.050	heavy
131	9	4.016	darkness
132	9	4.016	inch
133	9	4.016	rawr
134	93	4.009	friends
135	26	3.954	round
136	42	3.912	dirty
137	20	3.897	pencil
138	60	3.888	water
139	234	3.885	krusty
140	30	3.881	bus
141	30	3.881	jelly
142	34	3.860	robot
143	43	3.820	santa
144	22	3.791	bear
145	15	3.771	dah
146	138	3.734	said
147	24	3.718	bla
148	14	3.687	happiest
149	21	3.676	smelly
150	6	3.646	fever
151	6	3.646	toro
152	28	3.640	tag
153	36	3.635	pet
154	30	3.624	fix
155	13	3.609	cap
156	20	3.563	drain
157	20	3.563	parents
158	12	3.540	mustache
159	27	3.519	seconds
160	35	3.515	gave
161	7	3.494	pebble
162	7	3.494	wup
163	11	3.483	errands
164	11	3.483	reporting
165	11	3.483	sewer
166	1370	3.471	oh
167	40	3.467	poor
168	56	3.449	captain
169	56	3.449	pants
170	38	3.439	promise
171	8	3.431	bodyguard
172	8	3.431	jkl
173	8	3.431	san
174	9	3.419	bulb
175	15	3.375	exciting
176	15	3.375	thumbs
177	592	3.352	go
178	18	3.338	duty
179	18	3.338	psst
180	37	3.321	doctor
181	87	3.301	um
182	165	3.288	better
183	14	3.279	accept
184	40	3.267	silly
185	27	3.261	ketchup
186	17	3.227	harder
187	267	3.180	could
188	238	3.178	us
189	980	3.161	re
190	30	3.143	shouldn
191	12	3.100	goodnight
192	99	3.089	guys
193	57	3.076	clean
194	95	3.075	remember
195	5	3.039	cheater
196	5	3.039	eve
197	5	3.039	num
198	5	3.039	plane
199	5	3.039	poopus
200	5	3.039	quiz
201	5	3.039	shrunk
202	11	3.020	sink
203	11	3.020	smaller
204	49	3.018	sleep
205	52	3.016	used
206	129	3.004	won
207	89	3.001	mermaid
208	20	2.953	ran
209	10	2.950	bestest
210	10	2.950	forgive
211	10	2.950	laundry
212	10	2.950	vow
213	17	2.900	neat
214	6	2.897	campfire
215	6	2.897	coo
216	6	2.897	futile
217	6	2.897	sa
218	6	2.897	undercover
219	9	2.894	cloud
220	9	2.894	phony
221	8	2.857	football
222	8	2.857	schedule
223	7	2.851	chopping
224	7	2.851	lied
225	7	2.851	shhh
226	44	2.806	hurt
227	21	2.796	cat
228	23	2.778	fields
229	25	2.775	taken
230	18	2.715	hall
231	12	2.700	loves
232	35	2.689	greatest
233	510	2.688	how
234	20	2.676	soap
235	221	2.615	plankton
236	11	2.604	lettuce
237	113	2.603	find
238	66	2.579	true
239	14	2.559	deserve
240	32	2.535	p
241	23	2.534	feels
242	23	2.534	write
243	16	2.479	gramma
244	33	2.460	laugh
245	18	2.435	clock
